Nom Ticket	date	heure	entreprise	adresse	Ville	code postal	telephone	siren	produits : quantité, prix unitaire, somme prix	nombre articles	total	paiement intermediaire : montant, moyen paiement, monnaie rendue	montant paye
229	2016-10-11	18:49:59	Carrefour__market_	Rue_Nicolas_Gargot_17440_Aytre.	Aytre.	17440	125603575		{'10_FEUILLES_BRICK_R229': (1, 1.06, 1.06), 'SALADE_MECHOUIA_R229': (1, 3.72, 3.72), 'TUBE_70G_HARISSA_R229': (1, 0.49, 0.49)}	3	5.27	{'paiementintermediaire192': (10.0, 'ESPECES', 4.73)}	5.27
23	2016-06-09	20:00:19	Carrefour_city	33_RUE_DE_LA_SCIERIE_17000_LA_ROCHELLE	LA_ROCHELLE	17000	05.46.27.02.12		{'D.PIZZA_4_FORMAGGI_R23': (1, 4.9, 4.9), 'PIZZA_4SAIS0NS_CRF_R23': (1, 2.72, 2.72)}		7.62	{'paiementintermediaire193': (7.62, 'CARTE BANCAIRE EMV EUR', None)}	7.62
230	2016-12-01	18:33:51	Carrefour_market	Rue_Nicolas_Gargot_17440_Aytré.	Aytré.	17440	101018962		{'BI0_BANANE_SACHET_R230': (1, 1.47, 1.47)}	1	1.47	{'paiementintermediaire194': (1.47, 'CARTE BANCAIRE EMV EUR', None)}	1.47
231	2015-11-09	18:42:54	Carrefour_market	Rue_Nicolas_Gargot_17440_Aytré.	Aytré.	17440	101018962		{'1/2_CANNELLONI_CRF_R231': (1, 1.33, 1.33), '1/2_RAVIOLI_PUR_BF_R231': (1, 1.1, 1.1), '1KG_COQUILLETTE_P._R231': (1, 0.94, 0.94), '250G__RAVIOLI_PLT_P_R231': (1, 2.97, 2.97), '375G__RATATOUILLE_C_R231': (1, 2.42, 2.42), 'GALETTE_AUX_PRUNEA_R231': (1, 2.9, 2.9), 'GALETTE_NATURE_250_R231': (1, 2.35, 2.35), 'GATEAU_CHARENTAIS_R231': (1, 3.53, 3.53), 'LE_PAVE_500GR_R231': (1, 1.75, 1.75), 'PETIT_DEJEUNER_CHO_R231': (1, 2.23, 2.23), 'SCE_TOMATE_BIO_R231': (1, 1.67, 1.67), 'TARTE_FLAMBEE_GRAT_R231': (1, 2.08, 2.08), '50ML_DEO_BIL.NAT.P_R231': (1, 4.04, 4.04)}		29.31	{'paiementintermediaire195': (29.31, 'CARTE BANCAIRE EMV EUR', None)}	29.31
233	2016-11-30	18:00:21	Carrefour_market	Rue_Nicolas_Gargot_17440_Aytré.	Aytré.	17440	101018962		{'105G__DESHY_SGM_PDT_R233': (1, 1.25, 1.25), '100EUF.BI0_MOY.CRF_R233': (1, 2.99, 2.99), '2L_P.J.ORANGE_CRF_R233': (1, 2.29, 2.29), 'PET_1.5L_PASTEQUE_R233': (1, 2.5, 2.5), 'SPE_CRME_DE_LEGUME_R233': (1, 1.19, 1.19), '80_MAXI_CARRES_BB__R233': (2, 1.94, 3.88), 'LT_DOUC.COQUELICOT_R233': (1, 4.86, 4.86)}	8	18.96	{'paiementintermediaire197': (18.96, 'CARTE BANCAIRE EMV EUR', None)}	18.96
232	2016-02-08	18:05:12	Carrefour__market_	Rue_Nicolas_Gargot_17440_Aytre.	Aytre.	17440	125603575		{'205G__DESSERT_NOIR__R232': (2, 1.95, 3.9), '250G__TORTELL.PESTO_R232': (1, 2.97, 2.97), '3600_C0NF.FRAISE_R232': (1, 1.91, 1.91), '37CL_SALSIFIS_CRF_R232': (1, 1.02, 1.02), '6X50G_PETIT_GERVAI_R232': (1, 1.55, 1.55), 'BOULE_BLANCHE_R232': (1, 1.35, 1.35), 'COURGETTE_R232': (1, 0.63, 0.63), 'CREN.DESSERT_CHOCO_R232': (1, 0.89, 0.89), 'DUO_HARICOTV&B_CRM_R232': (1, 1.86, 1.86), 'EMMENTAL_RAPE_CRF_R232': (1, 1.42, 1.42), 'JBN_PARIS_CRF_6TR._R232': (1, 2.51, 2.51), 'LENTILLES_CASSEGR._R232': (1, 1.03, 1.03), 'LINDT_NOIR_85_R232': (1, 1.49, 1.49), 'NEMS_PORC+SAUCE_R232': (1, 2.28, 2.28), 'RADIS_ROSE_BOTTE_R232': (1, 1.3, 1.3), 'RATATOUILLE_1/4_R232': (1, 2.06, 2.06), 'RATATOUILLE_CRF_R232': (1, 0.92, 0.92), 'SAUCE_TOMATE_PROVE_R232': (1, 1.68, 1.68), 'ST_NECTAIRE_FERMIE_R232': (1, 2.15, 2.15), '4_RLX_P.H.CRF_ECOP_R232': (1, 2.26, 2.26), '500ML_LIQ.VSL_ECO_R232': (1, 1.85, 1.85), '500ML_SAVON_EX.PUR_R232': (1, 2.78, 2.78)}	23	39.81	{'paiementintermediaire196': (39.81, 'CARTE BANCAIRE EMV EUR', None)}	39.81
235	2016-11-12	11:17:19	Carrefour_market	Rue_Nicolas_Gargot_17440_Aytré.	Aytré.	17440	101018962		{'250G__SAUCISSON_SEC_R235': (1, 3.26, 3.26), 'BUCHETTE_SESAME_R235': (1, 1.15, 1.15), 'CHAMPIGNON_PARIS_R235': (1, 2.8, 2.8), 'QUICHE_LORRAINE_R235': (1, 2.99, 2.99)}	4	10.2	{'paiementintermediaire198': (10.2, 'CARTE BANCAIRE EMV EUR', None)}	10.2
24	2017-02-16	17:11:22	City_CRF-CITY_LA_ROCHELLE	33_RUE_DE_LA_SCIERIE_17000_LA_ROCHELLE	LA_ROCHELLE	17000	05.46.27.02.12		{'_250_GR_BAGUETTE_CRF_R24': (1, 1.0, 1.0), '8XD0S.SENSE0_CAPP.__R24': (2, 2.91, 5.82), 'BANANE_R24': (1, 2.02, 2.02)}	4	8.84	{'paiementintermediaire202': (10.0, 'ESPECES', 1.16)}	8.84
240	2016-12-17	12:31:52	Carrefour_market	Rue_Nicolas_Gargot_17440_Aytré.	Aytré.	17440	101018962		{'150G_DISC_TAB_CHOC_R240': (1, 0.91, 0.91), '400G_NUGGET_DDE_HA_R240': (1, 0.91, 0.91), 'AMANDE_EMONDE_300G__R240': (1, 0.9, 0.9), 'CHAMPIGON_EMINCE_R240': (1, 0.92, 0.92), 'DESS.FR.P0MM/BANAN_R240': (1, 0.22, 0.22), 'EMMENTAL_FRANCAIS_R240': (1, 0.42, 0.42), 'FR.FRAIS_0MG_CRF_R240': (1, 0.51, 0.51), 'SALADE_IRRESISTIB._R240': (1, 0.46, 0.46)}	8	5.25	{'paiementintermediaire203': (20.25, 'ESPECES', 15.0)}	5.25
236	2016-12-08	10:00:49	Carrefour__market	Rue_Nicolas_Gargot_17440_Aytré.	Aytré.	17440	546457320		{'90G_JBN_PETITE_TR_R236': (1, 2.69, 2.69), 'C0PPA_CRF_100G_R236': (1, 1.7, 1.7), 'SCSS0N_AIL_SUP.CHP_R236': (1, 1.67, 1.67), 'SPONTEX_GRAT_EPGEX_R236': (1, 2.84, 2.84)}	4	8.9	{'paiementintermediaire199': (50.0, 'ESPECES', 41.1)}	8.9
237	2016-12-11	12:08:42	Carrefour_market	Rue_Nicolas_Gargot_17440_Aytré.	Aytré.	17440	101018962		{'PAIN_6_CEREALES_R237': (1, 1.5, 1.5), 'BANDE_CIRE_BLONDEP_R237': (1, 4.79, 4.79), 'COLLANT_DIM_R237': (1, 5.9, 5.9)}	3	12.19	{'paiementintermediaire200': (12.19, 'CARTE BANCAIRE EMV EUR', None)}	12.19
